Entity,Code,Year,Fossil fuels per capita (kWh),Nuclear per capita (kWh - equivalent),Renewables per capita (kWh - equivalent)
Bangladesh,BGD,2018,2502.529052734375,0,18.837568283081055
Bangladesh,BGD,2019,2757.069824,0,18.74028968811035
Bangladesh,BGD,2020,2646.913818359375,0,17.53424835205078
Bangladesh,BGD,2021,2744.186035,,17.95799446105957
Belarus,BLR,1985,41204.34375,0,5.972808361053467
Belarus,BLR,1986,46740.67969,0,5.934637546539307
Belarus,BLR,1987,47131.26172,0,5.898359298706055
Belarus,BLR,1988,47548.44531,0,5.866332054138184
Belarus,BLR,1989,45792.32422,0,5.841536998748779
Belarus,BLR,1990,45897.66016,0,5.825922012329102
Belarus,BLR,1991,45749.71094,0,5.238358020782471
Belarus,BLR,1992,39697.85156,0,4.950483798980713
Belarus,BLR,1993,33256.19922,0,5.543368339538574
Belarus,BLR,1994,27873.91602,0,5.558094501495361
Belarus,BLR,1995,24871.67578,0,5.868429660797119
Belarus,BLR,1996,25594.28711,0,4.7100677490234375
Belarus,BLR,1997,25979.49414,0,6.203839302062988
Belarus,BLR,1998,25503.33984,0,8.304508209228516
Belarus,BLR,1999,24924.375,0,5.661052703857422
Belarus,BLR,2000,25829.60156,,8.087678909301758
Belarus,BLR,2001,25263.66992,,8.982777596
Belarus,BLR,2002,26312.66992,,8.685276031
Belarus,BLR,2003,26293.93555,,8.389465332
Belarus,BLR,2004,29634.36133,,10.191837310791016
Belarus,BLR,2005,29705.28125,,11.079582214355469
Belarus,BLR,2006,31737.0332,,11.433509826660156
Belarus,BLR,2007,31077.15625,,15.451781272888184
Belarus,BLR,2008,31562.94922,,23.03436851501465
Belarus,BLR,2009,29895.19922,,33.92391586303711
Belarus,BLR,2010,32424.97852,,42.016685485839844
Belarus,BLR,2011,31861.28906,,45.68629074
Belarus,BLR,2012,34452.55078,,54.91354751586914
Belarus,BLR,2013,31187.4043,,70.11863708496094
Belarus,BLR,2014,31176.25781,,64.65301513671875
Belarus,BLR,2015,28187.72266,,77.15122223
Belarus,BLR,2016,28763.6582,,100.07088470458984
Belarus,BLR,2017,29179.10742,,202.5196075439453
Belarus,BLR,2018,32301.06055,,188.23240661621094
Belarus,BLR,2019,32423.07813,,231.24044799804688
Belarus,BLR,2020,29942.28516,90.14612579345703,300.3770446777344
Belarus,BLR,2021,30662.70898,1536.959716796875,315.5070801
Belgium,BEL,1965,43640.32031,0,85.16577148
Belgium,BEL,1966,41834.53125,1.7945210933685303,93.17758942
Belgium,BEL,1967,43727.81641,27.99087905883789,73.85453796386719
Belgium,BEL,1968,48561.80859,18.094890594482422,75.42715454101562
Belgium,BEL,1969,53130.29297,6.502869606018066,70.84710693359375
Belgium,BEL,1970,55927.31641,16.79145622253418,75.51971435546875
Belgium,BEL,1971,54736.66797,0,41.004180908203125
Belgium,BEL,1972,57998.38672,3.2201874256134033,54.91246795654297
Belgium,BEL,1973,58558.6875,22.184614181518555,90.11044311523438
Belgium,BEL,1974,56356.51172,43.08517837524414,108.18025970458984
Belgium,BEL,1975,50960.37109,1969.9676513671875,82.49249267578125
Belgium,BEL,1976,53150.58203,2907.398193359375,51.48333740234375
Belgium,BEL,1977,52489.61719,3450.967773,147.7931365966797
Belgium,BEL,1978,54663.95703,3609.484863,151.4089813232422
Belgium,BEL,1979,56549.30469,3284.585938,172.25653076171875
Belgium,BEL,1980,53573.68359,3608.063477,180.3328094482422
Belgium,BEL,1981,50579.35156,3692.855224609375,208.03851318359375
Belgium,BEL,1982,47453.00391,4494.201172,114.41249084472656
Belgium,BEL,1983,43393.58594,6910.687012,107.47526550292969
Belgium,BEL,1984,44581.52734,7946.520996,112.50498962402344
Belgium,BEL,1985,44891.45313,9900.679688,102.64053344726562
Belgium,BEL,1986,45177.71094,11258.56055,140.4153594970703
Belgium,BEL,1987,46051.60938,11977.33105,174.96902465820312
Belgium,BEL,1988,46816.05078,12280.59375,166.66539001464844
Belgium,BEL,1989,47703,11718.61719,153.53309631347656
Belgium,BEL,1990,49809.48438,12114.50195,170.6338348388672
Belgium,BEL,1991,51756.39844,12114.08203,164.87820434570312
Belgium,BEL,1992,51231.39453,12235.15039,187.26380920410156
Belgium,BEL,1993,50466.79688,11757.30762,153.85714721679688
Belgium,BEL,1994,53841.07031,11350.16211,180.36981201171875
Belgium,BEL,1995,54261.16797,11520.20117,201.32630920410156
Belgium,BEL,1996,57716.19141,12045.7832,169.73886108398438
Belgium,BEL,1997,57213.40625,13157.64258,176.39303588867188
Belgium,BEL,1998,58810.80859,12795.74609,227.4816131591797
Belgium,BEL,1999,57378.37109,13562.58105,256.4667053222656
Belgium,BEL,2000,58692.75,13289.78809,313.2351989746094
Belgium,BEL,2001,58424.76953,12662.23926,320.76751708984375
Belgium,BEL,2002,57627.78125,12798.0957,339.4861755371094
Belgium,BEL,2003,60094.89844,12655.04297,355.8163146972656
Belgium,BEL,2004,60033.28125,12483.46191,442.3502197265625
Belgium,BEL,2005,58670.11328,12399.65527,621.3326416015625
Belgium,BEL,2006,58544.13281,11993.17383,863.6264648
Belgium,BEL,2007,58125.89063,12232.47852,1010.0428466796875
Belgium,BEL,2008,59299.19141,11399.7334,1269.811767578125
Belgium,BEL,2009,53465.49219,11652.83887,1684.386962890625
Belgium,BEL,2010,56823.55078,11673.71582,2191.019287109375
Belgium,BEL,2011,51362.97656,11593.09668,2654.602294921875
Belgium,BEL,2012,49774.8125,9564.167969,3162.628662109375
Belgium,BEL,2013,50398.88281,9998.813477,3435.921142578125
Belgium,BEL,2014,47605.22656,7808.028809,3569.125977
Belgium,BEL,2015,49501.68359,5975.804199,3959.334473
Belgium,BEL,2016,49815.90625,9846.848633,4050.543457
Belgium,BEL,2017,50190.0625,9443.046875,4426.944824
Belgium,BEL,2018,52214.07031,6323.092773,4688.287598
Belgium,BEL,2019,50225.11328,9540.554688,5168.347168
Belgium,BEL,2020,44686.46094,7487.868652,6210.898438
Belgium,BEL,2021,48103.61328,10917.75781,6077.937988
